college,rank_2024,rank_2023,gender,caste,branch_code,branch,college_code,students_per_class,fee,seat_category
IIT Bhubaneswar,13317,14997,F,General,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,10,75000,General
IIT Bhubaneswar,21121,21229,M,General,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,21,40000,General
IIT Bhubaneswar,2105,2341,M,EWS,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,21,40000,EWS
IIT Bhubaneswar,3815,3354,M,EWS,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,21,40000,EWS
IIT Bhubaneswar,5138,5274,M,OBC-NCL,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,21,40000,OBC-NCL
IIT Bhubaneswar,8530,7192,M,OBC-NCL,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,21,40000,OBC-NCL
IIT Bhubaneswar,2562,2799,M,SC,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,21,40000,SC
IIT Bhubaneswar,4293,3985,M,SC,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,21,40000,SC
IIT Bhubaneswar,977,858,M,ST,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,84,70000,ST
IIT Bhubaneswar,1750,1349,M,ST,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,84,70000,ST
IIT Bhubaneswar,3454,16386,M,General,CE,Civil Engineering and M. Tech. in Structural Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General
IIT Bhubaneswar,7457,23095,M,General,CE,Civil Engineering and M. Tech. in Structural Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General
IIT Bhubaneswar,197,2562,F,General (PwD),CE,Civil Engineering and M. Tech. in Structural Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General (PwD)
IIT Bhubaneswar,415,4094,F,EWS,CE,Civil Engineering and M. Tech. in Structural Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,EWS
IIT Bhubaneswar,1025,5952,F,EWS,CE,Civil Engineering and M. Tech. in Structural Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,EWS
IIT Bhubaneswar,1225,2142,F,OBC-NCL,CE,Civil Engineering and M. Tech. in Structural Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,2661,4616,M,OBC-NCL,CE,Civil Engineering and M. Tech. in Structural Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,31,1025,F,OBC-NCL (PwD),CE,Civil Engineering and M. Tech. in Structural Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,OBC-NCL (PwD)
IIT Bhubaneswar,596,15374,M,SC,CE,Civil Engineering and M.Tech in Transportation Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC
