college, cl
IIT Bhubaneswar, https://www.iitbbs.ac.in/
IIT Bombay, https://www.iitb.ac.in/
IIT Mandi, https://www.iitmandi.ac.in/
IIT Delhi, https://home.iitd.ac.in/
IIT Indore, https://www.iiti.ac.in/
IIT Kharagpur, https://www.iitkgp.ac.in/
IIT Hyderabad, https://iith.ac.in/
IIT Jodhpur, https://iitj.ac.in/
IIT Kanpur, https://www.iitk.ac.in/
IIT Madras, https://study.iitm.ac.in/ds/
IIT Gandhinagar, https://iitgn.ac.in/
IIT Patna, https://www.iitp.ac.in/
IIT Roorkee, https://www.iitr.ac.in/
IIT (ISM) Dhanbad, https://www.iitism.ac.in/
IIT Ropar, https://www.iitrpr.ac.in/
IIT (BHU) Varanasi, https://iitbhu.ac.in/
IIT Guwahati, https://www.iitg.ac.in/
IIT Bhilai, https://iitbhilai.ac.in/
IIT Goa, https://iitgoa.ac.in/
IIT Palakkad, https://iitpkd.ac.in/
IIT Tirupati, https://iittp.ac.in/
IIT Jammu, https://www.iitjammu.ac.in/
IIT Dharwad, https://iitdh.ac.in/
Dr. B R Ambedkar NIT- Jalandhar, https://www.nitj.ac.in/
Malaviya NIT Jaipur, https://mnit.ac.in/
Maulana Azad NIT Bhopal, https://www.manit.ac.in/
Motilal Nehru NIT Allahabad, http://www.mnnit.ac.in/
NIT Agartala, https://nita.ac.in/
NIT Calicut, https://nitc.ac.in/
NIT Delhi, https://nitdelhi.ac.in/
NIT Durgapur, https://nitdgp.ac.in/
NIT Goa, https://nitgoa.ac.in/
NIT Hamirpur, https://nith.ac.in/
NIT Karnataka- Surathkal, https://www.nitk.ac.in/
NIT Meghalaya, https://www.nitm.ac.in/
NIT Nagaland, https://www.nitnagaland.ac.in/
NIT Patna, https://www.nitp.ac.in/
NIT Puducherry, https://www.nitpy.ac.in/
NIT Raipur, https://nitrr.ac.in/
NIT Sikkim, https://nitsikkim.ac.in/
NIT Arunachal Pradesh, https://www.nitap.ac.in/
NIT- Jamshedpur, https://nitjsr.ac.in/
NIT- Kurukshetra, https://nitkkr.ac.in/
NIT- Manipur, https://nitmanipur.ac.in/
NIT- Mizoram, https://nitmz.ac.in/
NIT- Rourkela, https://nitrkl.ac.in/
NIT- Silchar, http://www.nits.ac.in/
NIT- Srinagar, https://www.nitsri.ac.in/
NIT- Tiruchirappalli, https://www.nitt.edu/
NIT- Uttarakhand, https://www.nituk.ac.in/
NIT- Warangal, https://nitw.ac.in/main/
Sardar Vallabhbhai NIT- Surat, https://www.svnit.ac.in/
Visvesvaraya NIT- Nagpur, https://vnit.ac.in/
NIT- Andhra Pradesh, https://nitandhra.ac.in/main/
Indian Institute of Engineering Science and Technology- Shibpur, https://www.iiests.ac.in/
Atal Bihari Vajpayee IIIT & Management Gwalior, https://www.iiitm.ac.in/index.php/en/
IIIT (IIIT)Kota- Rajasthan, https://iiitkota.ac.in/
IIIT Guwahati, https://www.iiitg.ac.in/
IIIT Kalyani- West Bengal, https://iiitkalyani.ac.in/
IIIT Kilohrad- Sonepat- Haryana, https://iiitsonepat.ac.in/
IIIT Una- Himachal Pradesh, https://iiitu.ac.in/
IIIT (IIIT)- Sri City- Chittoor, https://www.iiits.ac.in/
IIIT- Vadodara- Gujrat, https://iiitvadodara.ac.in/
IIIT- Allahabad, https://www.iiita.ac.in/
IIIT- Design & Manufacturing- Kancheepuram, https://www.iiitdm.ac.in/
Pt. Dwarka Prasad Mishra IIIT- Design & Manufacture Jabalpur, https://iiitdmj.ac.in/
IIIT Manipur, http://www.iiitmanipur.ac.in/
